Brouwer,Naam,Soort,Percentage,Untappd Rating,Aantal Ratings
VAULT CITY,APPELTJES VAN ORANJE,Apples S oranges sour ale,6%,3.044,1721
VAULT CITY,BRAIWELTING LIQUID,"lemon and lime juice, sherbert sour ale",6.8%,NA,NA
VAULT CITY,"PUNCH: MANDARIN, MANGO & PINEAPPLE",Fruit punch sour,7%,4.365,528
VAULT CITY,"VERDANT Penryn, United Kingdom MARYLOU",NEW ENGLAND PALE ALE,5.2%,NA,NA
VAULT CITY,MARYLOU,NEW ENGLAND PALE ALE,5.2%,NA,NA
VAULT CITY,A MILLION RIPPLES,NE-IPA,6.5%,NA,NA
VAULT CITY,TENDER THORNS,NEPA,6.5%,NA,NA
VAULT CITY,KING OF MAY,Triple NEIPA,10%,NA,NA
WALHALLA,UTU,Session IPA,4.1%,3.657,27
WALHALLA,APHRODITE,Raspberry sour,4.5%,3.237,4201
WALHALLA,NABIJ,Mango IPA,6%,NA,NA
WALHALLA,TRITON,DDH IPA,6.8%,4.059,43
